Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
2649,Mashpee,MA,Cape Cod,Barnstable,6181,221
2650,Chatham,MA,Cape Cod,Barnstable,12359,428
2653,Town of Orleans,MA,Cape Cod,Barnstable,8589,326
2655,Barnstable,MA,Cape Cod,Barnstable,9787,310
2657,Town of Provincetown,MA,Cape Cod,Barnstable,9904,565
2659,Chatham,MA,Cape Cod,Barnstable,11843,333
2660,Dennis,MA,Cape Cod,Barnstable,8741,235
2664,South Yarmouth,MA,Cape Cod,Barnstable,7457,228
2666,Truro,MA,Cape Cod,Barnstable,12758,391
2667,Wellfleet,MA,Cape Cod,Barnstable,9831,344
2668,Barnstable,MA,Cape Cod,Barnstable,10279,230
2670,Dennis,MA,Cape Cod,Barnstable,11603,304
2671,West Harwich,MA,Cape Cod,Barnstable,12268,276
2673,West Yarmouth,MA,Cape Cod,Barnstable,7660,224
2675,Yarmouth Port,MA,Cape Cod,Barnstable,8672,221
2702,Freetown,MA,Providence,Bristol,9868,182
2703,Attleboro,MA,Providence,Bristol,716,179
2715,Dighton,MA,Providence,Bristol,10650,187
2717,Freetown,MA,Providence,Bristol,9296,180
2718,Taunton,MA,Providence,Bristol,9030,172
2719,Fairhaven,MA,Providence,Bristol,5820,189
2720,Fall River,MA,Providence,Bristol,3204,137
2721,Fall River,MA,Providence,Bristol,3629,141
2723,Fall River,MA,Providence,Bristol,5566,136
2724,Fall River,MA,Providence,Bristol,5265,137
2725,Somerset,MA,Providence,Bristol,9928,171
2726,Somerset,MA,Providence,Bristol,5404,176
2738,Marion,MA,Boston,Plymouth,9531,234
2739,Mattapoisett,MA,Boston,Plymouth,9196,243
2740,New Bedford,MA,Providence,Bristol,782,125
2743,Acushnet,MA,Providence,Bristol,7276,163
2744,New Bedford,MA,Providence,Bristol,6017,143
2745,New Bedford,MA,Providence,Bristol,3822,161
2746,New Bedford,MA,Providence,Bristol,5570,141
2747,Dartmouth,MA,Providence,Bristol,3461,187
2748,Dartmouth,MA,Providence,Bristol,6889,217
2760,North Attleboro,MA,Providence,Bristol,3720,199
2762,Plainville,MA,Boston,Norfolk,7168,210
2763,North Attleboro,MA,Providence,Bristol,11793,204
2764,Dighton,MA,Providence,Bristol,10617,185
2766,Norton,MA,Providence,Bristol,6049,181
2767,Raynham,MA,Providence,Bristol,6392,185
2769,Rehoboth,MA,Providence,Bristol,6442,184
2770,Rochester,MA,Boston,Plymouth,11911,192
2771,Seekonk,MA,Providence,Bristol,6382,188
2777,Swansea,MA,Providence,Bristol,4901,190
2779,Berkley,MA,Providence,Bristol,7995,200
2780,Taunton,MA,Providence,Bristol,531,161
2790,Westport,MA,Providence,Bristol,4552,218
2804,Ashaway,RI,Providence,Washington,10269,146
2806,Barrington,RI,Providence,Bristol,5067,215
2807,New Shoreham,RI,Providence,Washington,12002,592
2808,Bradford,RI,Providence,Washington,11722,167
2809,Bristol,RI,Providence,Bristol,3180,171
2812,Richmond,RI,Providence,Washington,11714,157
2813,Charlestown,RI,Providence,Washington,7479,218
2814,Glocester,RI,Providence,Providence,7578,157
2816,Coventry,RI,Providence,Kent,1834,159
2817,West Greenwich,RI,Providence,Kent,9478,147
2818,East Greenwich,RI,Providence,Kent,4348,172
2822,Exeter,RI,Providence,Washington,8120,177
2825,Foster,RI,Providence,Providence,9093,162
2827,Coventry,RI,Providence,Kent,11798,160
2828,Greenville,RI,Providence,Providence,9189,169
2830,Burrillville,RI,Providence,Providence,10117,146
2831,Scituate,RI,Providence,Providence,11655,155
2832,Hope Valley,RI,Providence,Washington,9527,162
2835,Jamestown,RI,Providence,Newport,8488,320
2837,Little Compton,RI,Providence,Newport,9582,288
2838,Lincoln,RI,Providence,Providence,10128,136
2840,Newport,RI,Providence,Newport,3262,276
2842,Middletown,RI,Providence,Newport,5408,213
2852,North Kingstown,RI,Providence,Washington,3745,179
2857,Scituate,RI,Providence,Providence,6944,152
2859,Burrillville,RI,Providence,Providence,8290,152
2860,Pawtucket,RI,Providence,Providence,831,127
2861,Pawtucket,RI,Providence,Providence,2266,137
2863,Central Falls,RI,Providence,Providence,4329,109
2864,Cumberland,RI,Providence,Providence,1779,166
2865,Lincoln,RI,Providence,Providence,5425,160
2871,Portsmouth,RI,Providence,Newport,4985,200
2874,North Kingstown,RI,Providence,Washington,10240,195
2878,Town of Tiverton,RI,Providence,Newport,5313,166
2879,South Kingstown,RI,Providence,Washington,4715,203
2881,Kingston,RI,Providence,Washington,9119,173
2882,Narragansett,RI,Providence,Washington,7226,273
2885,Warren,RI,Providence,Bristol,6515,155
2886,Warwick,RI,Providence,Kent,3124,155
2888,Warwick,RI,Providence,Kent,4675,151
2889,Warwick,RI,Providence,Kent,2433,157
2891,Town of Westerly,RI,Providence,Washington,3612,197
2892,Richmond,RI,Providence,Washington,11107,168
2893,West Warwick,RI,Providence,Kent,2302,112
2895,Woonsocket,RI,Providence,Providence,742,111
2896,North Smithfield,RI,Providence,Providence,8051,140
2898,Richmond,RI,Providence,Washington,12311,158
2903,Providence,RI,Providence,Providence,8077,210
2904,North Providence,RI,Providence,Providence,2865,110
2905,Providence,RI,Providence,Providence,2773,121
2906,Providence,RI,Providence,Providence,3654,225
2907,Providence,RI,Providence,Providence,3380,94
2908,Providence,RI,Providence,Providence,1334,114
2909,Providence,RI,Providence,Providence,985,107
2910,Cranston,RI,Providence,Providence,4526,127
2911,North Providence,RI,Providence,Providence,5664,114
2914,East Providence,RI,Providence,Providence,4041,143
2915,East Providence,RI,Providence,Providence,4703,151
2916,East Providence,RI,Providence,Providence,7436,158
2917,Smithfield,RI,Providence,Providence,6238,168
2919,Johnston,RI,Providence,Providence,2619,141
